primary_key,sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
NBA_2023-11-12_NA_Brooklyn Nets_Washington Wizards,basketball,pro,NBA,2023-11-12,Sunday,,Brooklyn Nets,Washington Wizards,Barclays Center,Brooklyn,NY
NBA_2023-11-12_NA_Los Angeles Clippers_Memphis Grizzlies,basketball,pro,NBA,2023-11-12,Sunday,,Los Angeles Clippers,Memphis Grizzlies,Crypto.com Arena,Los Angeles,CA
NBA_2023-11-12_NA_Philadelphia 76ers_Indiana Pacers,basketball,pro,NBA,2023-11-12,Sunday,,Philadelphia 76ers,Indiana Pacers,Wells Fargo Center,Philadelphia,PA
NBA_2023-11-12_NA_Chicago Bulls_Detroit Pistons,basketball,pro,NBA,2023-11-12,Sunday,,Chicago Bulls,Detroit Pistons,United Center,Chicago,IL
NBA_2023-11-12_NA_Houston Rockets_Denver Nuggets,basketball,pro,NBA,2023-11-12,Sunday,,Houston Rockets,Denver Nuggets,Toyota Center,Houston,TX
NBA_2023-11-12_NA_New Orleans Pelicans_Dallas Mavericks,basketball,pro,NBA,2023-11-12,Sunday,,New Orleans Pelicans,Dallas Mavericks,Smoothie King Center,New Orleans,LA
NBA_2023-11-12_NA_San Antonio Spurs_Miami Heat,basketball,pro,NBA,2023-11-12,Sunday,,San Antonio Spurs,Miami Heat,Frost Bank Center,San Antonio,TX
NBA_2023-11-12_NA_Phoenix Suns_Oklahoma City Thunder,basketball,pro,NBA,2023-11-12,Sunday,,Phoenix Suns,Oklahoma City Thunder,Footprint Center,Phoenix,AZ
NBA_2023-11-12_NA_Golden State Warriors_Minnesota Timberwolves,basketball,pro,NBA,2023-11-12,Sunday,,Golden State Warriors,Minnesota Timberwolves,Chase Center,San Francisco,CA
NBA_2023-11-12_NA_Los Angeles Lakers_Portland Trail Blazers,basketball,pro,NBA,2023-11-12,Sunday,,Los Angeles Lakers,Portland Trail Blazers,Crypto.com Arena,Los Angeles,CA
NBA_2023-11-13_NA_Boston Celtics_New York Knicks,basketball,pro,NBA,2023-11-13,Monday,,Boston Celtics,New York Knicks,TD Garden,Boston,MA
NBA_2023-11-13_NA_Toronto Raptors_Washington Wizards,basketball,pro,NBA,2023-11-13,Monday,,Toronto Raptors,Washington Wizards,Scotiabank Arena,Toronto,ON
NBA_2023-11-13_NA_Milwaukee Bucks_Chicago Bulls,basketball,pro,NBA,2023-11-13,Monday,,Milwaukee Bucks,Chicago Bulls,Fiserv Forum,Milwaukee,WI
